Assuming page size is 4 KB

Global6: Testing associativity of L1 TLB.
   entries, array size (KB), stride (KB), latency
   17,  136.00, 8.000000, 186.488281
   17,  161.77, 9.515625, 186.426660
   17,  192.31, 11.312500, 186.360352
   17,  228.70, 13.453125, 186.309277
   17,  272.00, 16.000000, 187.170801
   17,  323.40, 19.023438, 186.573047
   17,  384.62, 22.625000, 186.496484
   17,  457.41, 26.906250, 186.565820
   17,  544.00, 32.000000, 186.486426
   17,  646.93, 38.054688, 186.179785
   17,  769.38, 45.257812, 186.891211
   17,  914.95, 53.820312, 187.011621
   17, 1088.00, 64.000000, 186.489355
   17, 1293.86, 76.109375, 186.432129
   17, 1538.63, 90.507812, 186.765234
   17, 1829.76, 107.632812, 186.833594
   17, 2176.00, 128.000000, 198.119727
   17, 2587.72, 152.218750, 197.018164
   17, 3077.27, 181.015625, 197.721191
   17, 3659.52, 215.265625, 197.797559
   17, 4352.00, 256.000000, 197.794922
   17, 5175.44, 304.437500, 197.528125
   17, 6154.66, 362.039062, 197.702246
   17, 7319.16, 430.539062, 197.781055
   17, 8704.00, 512.000000, 198.052637
   17, 10350.88, 608.875000, 197.523828
   17, 12309.33, 724.078125, 197.703418
   17, 14638.33, 861.078125, 198.250000
   17, 17408.00, 1024.000000, 197.317773
   17, 20701.75, 1217.750000, 197.437402
   17, 24618.66, 1448.156250, 197.441992
   17, 29276.66, 1722.156250, 197.991113
   17, 34816.00, 2048.000000, 197.436816
   17, 41403.50, 2435.500000, 197.151270
   17, 49237.31, 2896.312500, 197.190234
   17, 58553.31, 3444.312500, 197.389551
   17, 69632.00, 4096.000000, 197.627344
   17, 82806.87, 4870.992188, 197.142285
   17, 98474.49, 5792.617188, 197.570215
   17, 117106.62, 6888.625000, 197.950000
   17, 139264.00, 8192.000000, 197.323242
   17, 165613.73, 9741.984375, 197.790332
   17, 196948.98, 11585.234375, 197.326074
   17, 234213.25, 13777.250000, 197.621094
   17, 278528.00, 16384.000000, 197.457324
   17, 331227.47, 19483.968750, 197.401855
   17, 393898.10, 23170.476562, 197.461621
   17, 468426.37, 27554.492188, 197.137598
   17, 557056.00, 32768.000000, 197.314453
   17, 662454.94, 38967.937500, 197.929590
   17, 787796.20, 46340.953125, 197.573535
   17, 936852.73, 55108.984375, 197.631348
