Assuming page size is 64 KB
8
8

Global6: Testing associativity of L1 TLB.
   entries, array size (KB), stride (KB), latency
   15,    3.75, 0.250000, 186.572070
   15,    3.75, 0.250000, 186.641992
   15,    5.62, 0.375000, 186.690039
   15,    5.62, 0.375000, 186.501465
   15,    7.50, 0.500000, 186.572461
   15,    9.38, 0.625000, 187.506934
   15,   11.25, 0.750000, 186.736133
   15,   13.12, 0.875000, 186.783301
   15,   15.00, 1.000000, 186.570703
   15,   18.75, 1.250000, 187.344336
   15,   20.62, 1.375000, 186.743652
   15,   24.38, 1.625000, 186.926562
   15,   30.00, 2.000000, 186.584375
   15,   35.62, 2.375000, 186.937793
   15,   43.12, 2.875000, 186.738574
   15,   50.62, 3.375000, 186.737598
   15,   60.00, 4.000000, 186.445801
   15,   71.25, 4.750000, 186.926367
   15,   84.38, 5.625000, 186.143945
   15,  101.25, 6.750000, 186.778125
   15,  120.00, 8.000000, 186.431152
   15,  142.50, 9.500000, 187.071680
   15,  170.62, 11.375000, 186.836914
   15,  202.50, 13.500000, 186.774707
   15,  240.00, 16.000000, 186.437793
   15,  285.00, 19.000000, 186.632031
   15,  339.38, 22.625000, 186.013184
   15,  403.12, 26.875000, 186.795020
   15,  480.00, 32.000000, 186.542969
   15,  570.00, 38.000000, 186.656836
   15,  678.75, 45.250000, 186.000293
   15,  808.12, 53.875000, 186.774316
   15,  960.00, 64.000000, 186.445996
   15, 1141.88, 76.125000, 187.369336
   15, 1357.50, 90.500000, 186.555078
   15, 1614.38, 107.625000, 186.350684
   15, 1920.00, 128.000000, 186.568066
   15, 2283.75, 152.250000, 186.794824
   15, 2715.00, 181.000000, 186.586328
   15, 3228.75, 215.250000, 186.596289
   15, 3840.00, 256.000000, 186.444727
   15, 4565.62, 304.375000, 186.494629
   15, 5430.00, 362.000000, 186.294824
   15, 6457.50, 430.500000, 186.481836
   15, 7680.00, 512.000000, 186.463965
   15, 9133.12, 608.875000, 186.794629
   15, 10861.88, 724.125000, 186.892871
   15, 12916.88, 861.125000, 186.960254
   15, 15360.00, 1024.000000, 186.449609
