Assuming page size is 4 KB
8
8
1,187.411328
2,189.325781
3,193.197266
4,196.619922
5,198.101172
6,200.209375
7,202.848437
8,202.959766
9,204.694531
10,204.684375
11,204.805859
12,204.701953
13,204.777734
14,204.708984
15,205.144141
16,203.024219
17,207.855859
18,208.587500
19,210.494531
20,211.326562
21,213.517969
22,214.555469
23,215.637109
24,216.167578
25,217.672266
26,217.624609
27,217.609375
28,217.390234
29,217.451953
30,217.686719
31,217.782813
32,216.269141
33,217.875781
34,217.415234
35,217.765625
36,217.342578
37,217.827344
38,217.495313
39,217.789844
40,215.988672
41,217.841016
42,217.617188
43,217.935156
44,217.407422
45,217.674609
46,217.510938
47,217.900000
48,216.230859
49,217.800000
50,217.589453
51,217.385938
52,216.924219
53,217.525781
54,217.425000
55,217.945312
56,216.361328
57,218.020312
58,217.778516
59,217.962109
60,217.563672
61,217.937891
62,217.841016
63,218.055078
64,216.492578
