Assuming page size is 4 KB

GlobalDibs: Global memory latency for 512 KB stride.
   Array size (KB), latency (clocks)
    1364, 186.778125
    1368, 186.546094
    1372, 186.786328
    1376, 186.566016
    1380, 186.767578
    1384, 186.546484
    1388, 186.735547
    1392, 186.578516
    1396, 186.746875
    1400, 186.541797
    1404, 186.740234
    1408, 186.552734
    1412, 186.767578
    1416, 186.502344
    1420, 186.748828
    1424, 186.591797
    1428, 186.791016
    1432, 186.586328
    1436, 186.757812
    1440, 186.574219
    1444, 186.705469
    1448, 186.602734
    1452, 186.791406
    1456, 186.560547
    1460, 186.785547
    1464, 186.570312
    1468, 186.791406
    1472, 186.485547
    1476, 186.778516
    1480, 186.592187
    1484, 186.781641
    1488, 186.565234
    1492, 186.775781
    1496, 186.583203
    1500, 186.771875
    1504, 186.544922
    1508, 186.771094
    1512, 186.538672
    1516, 186.764062
    1520, 186.613281
    1524, 186.796875
    1528, 186.580469
    1532, 186.769141
    1536, 186.542578
    1540, 186.779297
    1544, 186.579297
    1548, 186.796484
    1552, 186.568750
    1556, 186.783594
    1560, 186.570312
    1564, 186.747656
    1568, 186.581641
    1572, 186.771484
    1576, 186.592578
    1580, 186.765234
    1584, 186.548828
    1588, 186.753516
    1592, 186.559766
    1596, 186.779297
    1600, 186.577344
    1604, 186.770312
    1608, 186.542578
    1612, 186.784375
    1616, 186.585938
    1620, 186.796484
    1624, 186.583594
    1628, 186.785937
    1632, 186.560937
    1636, 186.741406
    1640, 186.575781
    1644, 186.775781
    1648, 186.591406
    1652, 186.781250
    1656, 186.551172
    1660, 186.729688
    1664, 186.588281
    1668, 186.768750
    1672, 186.598437
    1676, 186.776563
    1680, 186.577734
    1684, 186.768359
    1688, 186.523828
    1692, 186.766016
    1696, 186.579688
    1700, 186.759766
    1704, 186.576562
    1708, 186.801953
    1712, 186.593750
    1716, 186.742578
    1720, 186.586719
    1724, 186.745313
    1728, 186.583984
    1732, 186.772656
    1736, 186.525781
    1740, 186.751953
    1744, 186.580859
    1748, 186.773828
    1752, 186.580859
    1756, 186.769531
    1760, 186.560937
    1764, 186.737500
    1768, 186.582031
    1772, 186.767578
    1776, 186.580469
    1780, 186.764062
    1784, 186.561719
    1788, 186.787891
    1792, 186.602344
    1796, 186.795312
    1800, 186.570312
    1804, 186.798047
    1808, 186.549219
    1812, 186.766406
    1816, 186.500781
    1820, 186.785547
    1824, 186.610938
    1828, 186.779297
    1832, 186.567969
    1836, 186.810547
    1840, 186.613281
    1844, 186.760547
    1848, 186.585938
    1852, 186.791016
    1856, 186.567969
    1860, 186.793750
    1864, 186.591797
    1868, 186.827344
    1872, 186.548438
    1876, 186.761328
    1880, 186.579688
    1884, 186.771484
    1888, 186.583203
    1892, 186.671484
    1896, 186.617188
    1900, 186.764453
    1904, 186.571094
    1908, 186.778906
    1912, 186.587109
    1916, 186.782813
    1920, 186.892578
    1924, 187.070312
    1928, 186.912109
    1932, 187.103906
    1936, 186.901563
    1940, 187.092578
    1944, 186.889062
    1948, 187.089063
    1952, 186.851562
    1956, 187.087109
    1960, 186.899219
    1964, 187.079297
    1968, 186.900391
    1972, 187.073047
    1976, 186.880078
    1980, 187.093750
    1984, 186.868750
    1988, 187.090625
    1992, 186.871875
    1996, 187.059375
    2000, 186.894922
    2004, 187.108594
    2008, 186.871875
    2012, 187.113281
    2016, 186.857422
    2020, 187.086328
    2024, 186.891406
    2028, 187.102734
    2032, 186.870313
    2036, 187.093359
    2040, 186.786719
    2044, 187.072656
    2048, 186.876172
    2052, 187.089063
    2056, 186.880078
    2060, 187.108594
    2064, 186.816016
    2068, 187.093750
    2072, 186.875781
    2076, 187.081250
    2080, 186.860547
    2084, 187.079297
    2088, 186.823047
    2092, 187.118359
    2096, 186.907813
    2100, 187.094141
    2104, 186.875000
    2108, 187.066406
    2112, 186.785547
    2116, 187.042969
    2120, 186.889453
    2124, 187.117578
    2128, 186.899609
    2132, 187.096094
    2136, 186.882031
    2140, 187.075000
    2144, 186.876563
    2148, 187.053516
    2152, 186.887891
    2156, 187.112500
    2160, 186.850391
    2164, 187.100000
    2168, 186.909375
    2172, 187.099219
    2176, 186.904297
    2180, 187.090625
    2184, 186.918750
    2188, 187.138281
    2192, 186.907813
    2196, 187.112891
    2200, 186.900781
    2204, 187.099609
    2208, 186.900781
    2212, 187.082031
    2216, 186.910937
    2220, 187.153125
    2224, 186.889453
    2228, 187.091016
    2232, 186.914844
    2236, 187.108984
    2240, 186.885156
    2244, 187.104688
    2248, 186.913672
    2252, 187.067187
    2256, 186.905859
    2260, 187.090625
    2264, 186.865234
    2268, 187.119141
    2272, 186.894922
    2276, 187.032422
    2280, 186.882812
    2284, 187.075000
    2288, 186.895703
    2292, 187.070312
    2296, 186.910937
    2300, 187.112500
    2304, 186.899219
    2308, 187.116016
    2312, 186.920312
    2316, 187.111328
    2320, 186.913672
    2324, 187.101953
    2328, 186.899609
    2332, 187.120703
    2336, 186.882031
    2340, 187.087500
    2344, 186.862109
    2348, 187.099609
    2352, 186.910547
    2356, 187.131250
    2360, 186.912109
    2364, 187.134766
    2368, 186.894141
    2372, 187.083984
    2376, 186.909375
    2380, 187.089453
    2384, 186.880859
    2388, 187.102344
    2392, 186.925781
    2396, 187.086328
    2400, 186.903125
    2404, 187.126172
    2408, 186.921875
    2412, 187.088281
    2416, 186.916406
    2420, 187.133984
    2424, 186.894922
    2428, 187.098828
    2432, 186.907813
    2436, 187.091406
    2440, 186.889453
    2444, 187.070312
    2448, 186.886328
    2452, 187.088672
    2456, 186.907031
    2460, 187.102734
    2464, 186.880078
    2468, 187.100781
    2472, 186.910937
    2476, 187.110938
    2480, 186.876953
    2484, 187.115234
    2488, 186.889062
    2492, 187.097266
    2496, 186.912500
    2500, 187.067187
    2504, 186.899609
    2508, 187.111328
    2512, 186.896875
    2516, 187.106250
    2520, 186.888672
    2524, 187.012109
    2528, 186.910156
    2532, 187.071094
    2536, 186.879687
    2540, 187.084766
    2544, 186.886328
    2548, 187.088281
    2552, 186.873437
    2556, 187.083203
    2560, 186.891016
    2564, 187.087109
    2568, 186.820312
    2572, 187.091797
    2576, 186.898047
    2580, 187.056250
    2584, 186.916016
    2588, 187.099609
    2592, 186.880078
    2596, 187.075000
    2600, 186.889844
    2604, 187.093750
    2608, 186.876953
    2612, 187.101172
    2616, 186.894531
    2620, 187.093359
    2624, 186.906641
    2628, 187.102344
    2632, 186.839453
    2636, 187.061719
    2640, 186.886719
    2644, 187.090234
    2648, 186.895312
    2652, 187.100391
    2656, 186.871094
    2660, 187.093750
    2664, 186.882812
    2668, 187.066406
    2672, 186.865234
    2676, 187.088672
    2680, 186.881641
    2684, 187.093359
    2688, 186.878906
    2692, 187.089844
    2696, 186.913281
    2700, 187.087891
    2704, 186.862500
    2708, 187.071484
    2712, 186.896484
    2716, 187.080078
    2720, 186.899609
    2724, 187.082031
    2728, 186.888672
    2732, 187.094531
    2736, 186.876953
    2740, 187.007422
    2744, 186.898438
    2748, 187.126172
    2752, 186.915625
    2756, 187.100000
    2760, 186.802734
    2764, 187.084375
    2768, 186.900391
    2772, 187.026563
    2776, 186.916797
    2780, 187.090625
    2784, 186.883594
    2788, 187.096875
    2792, 186.902344
    2796, 187.082031
    2800, 186.839844
    2804, 187.083984
    2808, 186.869141
    2812, 187.059375
    2816, 186.861328
    2820, 187.142578
    2824, 187.060937
    2828, 187.222656
    2832, 187.022266
    2836, 187.223047
    2840, 187.016406
    2844, 187.230859
    2848, 187.033594
    2852, 187.254297
    2856, 187.039453
    2860, 187.224219
    2864, 187.012109
    2868, 187.209375
    2872, 186.988672
    2876, 187.212109
    2880, 187.002734
    2884, 187.220313
    2888, 187.000000
    2892, 187.237500
    2896, 187.034375
    2900, 187.214063
    2904, 187.015234
    2908, 187.216406
    2912, 187.012891
    2916, 187.180078
    2920, 187.016406
    2924, 187.225781
    2928, 187.026172
    2932, 187.210547
    2936, 186.997656
    2940, 187.207422
    2944, 187.025000
    2948, 187.267578
    2952, 187.111328
    2956, 187.328906
    2960, 187.152344
    2964, 187.342578
    2968, 187.149609
    2972, 187.332812
    2976, 187.125391
    2980, 187.376172
    2984, 187.170703
    2988, 187.364453
    2992, 187.153906
    2996, 187.412891
    3000, 187.150391
    3004, 187.349609
    3008, 187.237109
    3012, 187.391797
    3016, 187.233594
    3020, 187.403906
    3024, 187.199609
    3028, 187.412891
    3032, 187.267578
    3036, 187.387891
    3040, 187.262500
    3044, 187.419531
    3048, 187.214063
    3052, 187.398047
    3056, 187.246094
    3060, 187.417578
    3064, 187.192187
    3068, 187.389453
    3072, 187.241406
    3076, 187.465234
    3080, 187.364062
    3084, 187.608594
    3088, 187.508594
    3092, 187.761328
    3096, 187.605859
    3100, 187.888672
    3104, 187.704297
    3108, 188.028516
    3112, 187.900000
    3116, 188.207812
    3120, 188.002734
    3124, 188.258984
    3128, 188.153906
    3132, 188.388672
    3136, 188.293359
    3140, 188.588672
    3144, 188.401563
    3148, 188.746875
    3152, 188.573828
    3156, 188.813672
    3160, 188.737891
    3164, 188.894922
    3168, 188.883203
    3172, 189.110938
