Assuming page size is 4 KB

GlobalDibs: Global memory latency for 512 KB stride.
   Array size (KB), latency (clocks)
    1364, 186.678906
    1368, 186.466797
    1372, 187.249219
    1376, 186.483203
    1380, 186.667578
    1384, 186.463672
    1388, 186.665625
    1392, 186.448828
    1396, 186.674219
    1400, 187.302734
    1404, 186.658203
    1408, 186.449609
    1412, 186.671094
    1416, 186.472656
    1420, 186.674609
    1424, 186.479688
    1428, 186.648047
    1432, 187.108984
    1436, 186.650391
    1440, 186.475391
    1444, 186.662109
    1448, 186.476172
    1452, 186.663281
    1456, 186.455078
    1460, 187.640625
    1464, 186.471094
    1468, 186.669141
    1472, 186.466797
    1476, 186.661719
    1480, 186.462500
    1484, 186.685937
    1488, 186.768359
    1492, 186.966016
    1496, 186.476172
    1500, 186.664062
    1504, 186.485156
    1508, 186.666797
    1512, 186.457812
    1516, 186.667188
    1520, 187.387891
    1524, 186.657813
    1528, 186.475391
    1532, 186.671484
    1536, 186.443359
    1540, 186.677734
    1544, 186.448047
    1548, 187.538672
    1552, 186.481250
    1556, 186.650391
    1560, 186.474219
    1564, 186.671094
    1568, 186.470313
    1572, 186.687500
    1576, 187.366016
    1580, 186.667578
    1584, 186.487891
    1588, 186.679688
    1592, 186.475781
    1596, 186.691406
    1600, 186.483594
    1604, 187.218359
    1608, 186.504687
    1612, 186.671875
    1616, 186.463281
    1620, 186.670703
    1624, 186.451172
    1628, 186.690625
    1632, 186.631641
    1636, 186.997266
    1640, 186.479688
    1644, 186.663281
    1648, 186.469531
    1652, 186.678516
    1656, 186.466797
    1660, 186.766016
    1664, 186.953516
    1668, 186.679688
    1672, 186.478125
    1676, 186.667188
    1680, 186.463672
    1684, 186.685156
    1688, 186.498047
    1692, 187.248437
    1696, 186.487500
    1700, 186.704297
    1704, 186.475000
    1708, 186.686328
    1712, 186.473437
    1716, 186.673828
    1720, 186.947656
    1724, 186.654297
    1728, 186.482812
    1732, 186.655469
    1736, 186.466016
    1740, 186.659766
    1744, 186.454688
    1748, 187.128516
    1752, 186.480078
    1756, 186.644531
    1760, 186.466016
    1764, 186.665625
    1768, 186.457031
    1772, 186.899609
    1776, 186.658984
    1780, 186.673438
    1784, 186.466016
    1788, 186.660156
    1792, 186.466797
    1796, 186.678906
    1800, 186.910547
    1804, 186.676562
    1808, 186.491406
    1812, 186.671094
    1816, 186.480469
    1820, 186.694922
    1824, 186.484766
    1828, 187.479688
    1832, 186.463281
    1836, 186.676172
